name,urlname,description,base_difficulty,tier,show
Basic Technologies,basic,The most basic building blocks of BattleMech technology. All the things you need to get a large metal behemoth on its feet.,0,0,True
Star-League Technologies,starleague,The height of the Star League saw several refinements and improvements become common-place across the Inner Sphere.,3,1,True
Industrial Equipment,industrial,"Sometimes industrial equipment is pressed into service as improvised weaponary. Generally inferior to proper, purpose built weapons they are nevertheless a great crowd pleaser.",0,0,True
Shrapnel Pods,shrapnel-pods,Single use pods filled with explosives and shrapnel provide effective countermeasures against nearby infantry and battlemech alike.,8,2,True
C3 Targeting Computers,c3,"A C3 Targeting network (consisting of one C3 Master and up to 3 C3 Slaves) may be used by to share targeting information between multiple mechs, greatly improving the effectiveness of long range fire. T",8,2,True
Improved C3 Computer,imp-c3,"The Improved C3 Computer Network enables the same targeting information sharing as its counterpart, but eliminates the Master / Slave aspect of the design. This increases reliability by removing a single point of failure.",8,2,True
LB-X Autocannons,lb-x,"LB-X Autocannons enable the use of both normal slug munitions as well as other types such as cluster ammo
",6,2,True
Davion Autocannons,davion-ac,"Known for their auto-cannon technology, House Davion produces various autocannon designs that either reduce the weight or improve on the rate of fire",8,2,True
Ultra Autocannons,ultra-ac,"Ultra Autocannons improve on the basic design by doubling the rate of fire. However the design does suffer from a small risk of jamming
",6,2,True
Rocket Launchers,rocket-launcher,"A simple, lower tech approach to missile projectiles. It sacrifices guidance systems and complex loader systems to provide a lower cost approach to delivering firepower",6,2,True
ER Lasers,er-lasers,"Extended range lasers improve the overall range of lasers, but generate considerably more heat. This technology grants access to the following equipment
",6,2,True
Advanced Gauss,adv-gauss,"Several variations have been developed for the original Gauss rifle, allowing for flexibility when incorporating this technology into mechs.",6,2,True
Advanced Gyros,adv-gyros,"Upgrades to the basic gyroscope used to stabilise the mech provide alternatives that offer reduced weight, reduced space or enhanced reliability.",8,2,True
Streak SRMS,streak,"Through the use of improved guidance systems, the Streak system is able to ensure that all missiles in a given volley hit their intended target</P>",6,2,True
Targeting Computer,tgt-comp,"A Targeting computer increases the accuracy of many direct-fire ballistic and energy weapons, and enables the firer to target specific locations upon the enemy mech.",8,2,True
Multi-Missile Launcher,mml,"The Multi-Missile Launcher improves the loading and firing mechanisms, allowing the launcher change between firing SRM or LRM munitions at will",8,2,True
Medium Range Missiles,mrm,"Falling somewhere between SRMs and LRMs in terms of reach, MRMs trade out many of the advanced guidance systems used in the other technologies in favour of a significantly increased volume of dumb-fire rockets.",6,2,True
Machine Guns,machine-guns,There are multiple variants to the humble machine gun that either improve on firepower or reduce weight,6,2,True
Omnimechs,omnimechs,"OmniMechs are a new, modular approach to building mechs that enables the weapons and equipment load-out to be adjusted. This technology grants access to order OmniMech designs.",7,2,True
Advanced PPCs,adv-ppc,"Providing lighter and heavier variations on the base design, these advanced options provide alternatives for long-range firepower to meet a variety of needs.",6,2,True
Snubnose PPC,snubby,The snub-nose PPC improves close range accuracy and overall reach at the expense of being able to deliver damage at longer ranges,6,2,True
Plasma Rifle,plasma-rifle,"The plasma rifle fires a ball of burning plasma, inflicting both damage and heat upon its target",6,2,True
Advanced Ferro-Fibrous,adv-ferro,"This technology grants access to two new variants of ferro-fibrous armour that use different techniques to change the trade-off between weight and bulk.
",6,2,True
Triple Strength Myomer,tsm,"Triple Strength Myomer strands replace the standard Myomer used to build a BattleMechs 'muscles'. When cold, they have the same power and strength as the standard Myomer, however once heated up they considerably increase the strength of the mech, making it much more deadly in melee combat.",8,2,True
Improved JumpJets,ijj,"While heavier and bulkier, these jumpjets are more power efficient, allowing more to be powered off of an engine of similar power.",8,2,True
Advanced Missiles,adv-missiles,"While the humble explosive warhead remains effective, missiles can be used to deliver a variety of alternative payloads.",8,2,True
Small Cockpit,small-cockpit,"The small cockpit was developed as a space-saving measure and provides more room to fit other systems into the head of a mech. However, the cramped nature of the cockpit does make it harder for the pilot to operate the mech.",6,2,True
Light Fusion,light-fusion,"Light Fusion reactors reduce the overall weight of the mechs engine while increasing the bulk slightly. However, by not being as large as their extra-light brethren, they also retain some of the survivability advantages of simpler engine designs.",6,2,True
Advanced AC Ammunition,adv-acammo,House Davion is responsible for developing a variety of improvements to the humble Auto-Cannon shell.,8,2,True
One-Shot Launchers,oneshot,"By removing all ammo feed mechanisms completely, Improved One-shot launchers are able to reduce their weight.",8,2,True
Stealth Armour,stealth,"Combined with an ECM system, stealth armour interferes with many targetting and guidance systems, making the mech harder to hit.",6,2,True
I-Narc,inarc,The Improved Narc launcher adds a more effective beacon design and allows for the use of a more diverse set of beacon options,8,2,True
Sword,sword,A sword that weighs several tons on its own can do quite a bit of damage,8,2,True
Bloodhound Probe,bloodhound-probe,"The Bloodhound probe is an enhanced cousin of the Beagle sensor probe suite, piercing cover at a longer range and effectively neutralising many stealth and ECM systems.",8,3,True
Boosted C3 System,boosted-c3,"The Boosted C3 System improves on the strength of the communication signal used between mechs, making it more resilient against enemy ECM systems.",8,3,True
Thunderbolt Missile Launcher,thunderbolt,"The Thunderbolt Missile Launcher uses many of the guidance and launch systems of standard LRM launchers, but launches a single larger missile with a more powerful payload in place of numerous smaller missiles fired by standard LRMS. This technology grants access to:",8,3,True
Solaris Gauss,solaris-gauss,"Some experimental Gauss Rifle variants never really found home on the battlefield, but found a useful home in the Solaris Arenas. The Magshot is basically an up-sized battle-armour Gauss Rifle, and the Silver Bullet Gauss is a cluster variant of the standard Gauss Rifle (however, its ammo feed mechanisms and barrel design only allow it to fire cluster ammo. Normal slug munitions are not supported, which limited its battlefield utility). This technology grants access to:

",8,3,True
PPC Capacitors,ppc-capacitor,"The PPC capacitor allows PPCs to be pre-charged, allowing the heat burden to be spread over a longer time period</P>",8,3,True
X-Pulse Lasers,xpulse,X-Pulse lasers increase the reach of standard pulse lasers but considerably increase the amount of waste heat they generate. ,8,3,True
Variable Speed Pulse Lasers,vsp-pulse,"Variable Speed Pulse lasers can adjust their firing rate and energy use, allowing them to be considerably more powerful at close range",8,3,True
Extended LRM Launchers,elrm,"The Extended LRM launcher improves the reach of the existing LRM technologies, but further sacrifices short range effectiveness. ",8,3,True
Enhanced LRM Launchers,nlrm,"The Enhanced LRM launcher halves the minimum range of the LRM missile system, allowing it to be more effective in close quarters at the expense of additional weight and bulk.",8,3,True
Angel ECM Suite,angel-ecm,The Angel ECM suite is the more powerful cousin to the Guardian ECM.,8,3,True
Hyper-Velocity AutoCannon,hvac,"The Hyper-Velocity AutoCannon improves on the reach standard AutoCannon, with the resulting firing mechanism creating a visually impressive amount of smoke. The increased power of the firing mechanism does, however, come with a slight risk of ammo detonation while firing
",8,3,True
Battlemech Taser,taser,The Battlemech Taser uses power from the firing mechs Fusion Engine to cripple or completely disable its target,12,3,True
Supercharger,supercharger,"The SuperCharger allows more power to be extracted from a fusion engine, allowing mechs to significantly increase their running speed. However, there are some risks associated with overdriving an engine in this manner, and damage to the engine may result if overused",8,3,True
Advanced Internal Structures,adv-structure,"There are a variety of more exotic materials and techniques that can be applied to constructing a BattleMech chassis. 
",8,3,True
Laser Anti-Missile System,l-ams,"The Laser AMS is similar in function to the normal Anti-Missile System, but due to its use of energy weapons it is not constrained by ammo.",8,3,True
Torso Mounted Cockpit,torso-cockpit,"By mounting the cockpit inside the torso, it is possible to give the pilot the protection of alot more armour. However, the pilot becomes more dependant on the mech's sensor systems to know what is happening, and on the life support systems to keep him cool closer to the engine. Such cockpits are often cramped, due to limited torso space, and a usable ejection system has yet to be designed.",8,3,True
Extra-Extra-Light Engines,xxl-engine,"Even bulkier than the Extra-Light engine, the XXL engine provides a considerable reduction in weight. However, it is a much less heat-efficient engine compared to the alternatives.",8,3,True
Improved Heavy Gauss,imp-hvgauss,"The Improved Heavy Gauss Rifle sacrifices some range and has increased bulk and weight, but offers an improved ballistic profile that enables it to deliver its full damage even at long ranges",8,3,True
Coolant Pods,coolant-pods,Coolant pods provide a one-shot tool for drastically reducing the heat of a Mech,8,3,True
CASE II,case_ii,"Improving on the protective capabilities of CASE, the CASE II system is able to further reduce the consequences of a damaged ammo bin.",8,3,True
Museum Pieces,museum,"Old, obsolete techs are often hard to source as well, since suppliers only stock what they think they can sell.",8,3,True
Laser Reflective Armour,reflective-armour,"Laser Reflective armour provides considerably more protection against laser weapons, but is much more vulnerable to physical impacts</P>",8,3,True
Reactive Armour,reactive-armour,"Reactive Armour is embedded with small micro-explosive charges that can be used to counteract explosive weapons. It is much more bulky than most other armour types, and carries a small risk of a chain reaction in the charges themselves.",8,3,True
Battlemech Har-Jel System,har-jel,"Har-Jel, commonly used in the hull sealing systems of Clan spacecraft, can also be used in BattleMechs to protect against hull breaches while in hostile environments",8,3,True
Compact Fusion,compact-fusion,"Smaller but heavier, the compact fusion engine frees up a considerable amount of space in the centre torso.",8,3,True
Apollo MRM Fire Control System,apollo-fcs,"While using a different technique to the Artemis Fire Control Systems utilised by SRM and LRM launchers, the Apollo FCS serves a similar function to increase the accuracy of the unguided MRM launchers</P>",8,3,True
Battlemech Turret,bm-turret,Turrets provide weapons with the ability to cover a complete 360&#176; firing arc. This technology grants access to:,8,3,True
Actuator Enhancement System,aes,"Through a complex setup, the responsiveness and precision of the mechs actuators are signicifantly improved.",10,3,True
Chain Whip,chain-whip,For when you like your gladiatorial combat with giant metal behemoths.,8,3,True
Claws,claws,"Rarwly seen outside of Solaris matches, claws are a formidible melee weapon.",8,3,True
Flail,flail,For when you like your gladiatorial combat with giant metal behemoths.,8,3,True
Lance,lance,For when you like your gladiatorial combat with giant metal behemoths.,8,3,True
Mace,mace,For when you like your gladiatorial combat with giant metal behemoths.,8,3,True
Shield,shield,For when you like your gladiatorial combat with giant metal behemoths.,8,3,True
Spikes,spikes,"Not just for decoration, spikes can also be useful in a melee.",8,3,True
Battlemech UMU,umu,"By replacing the jumpjets with impeller turbines, mechs can be outfitted to move much more effectively underwater",8,3,True
Aquatic Survival System,mw-ass,"While bulky, the MechWarrior Aquatic Survival System protects the pilot from being drowned in the event of the head being breached while underwater.",8,3,True
Blue Shield Particle Field Damper,blueshield,"By using electromagnetic fields, the Blue Shield PFD system provides limited protection against Particle Projection Cannons.",8,3,True
Null Signature system,null-sig,"By using a combination of systems to mask a both the heat and electromagnetic signatures of a battlemech, the Null Signature system interferes with the ability of opposing sensor and targeting systems to effectively acquire it.",8,3,True
Void Signature System,void-sig,The Void Signature system combines techniques used by the Null Signature systems and Chameleon Light Polarisation System to render a mech almost invisible. The system is at its most effective when used on a still or slow moving mech.,8,3,True
Chameleon Light Polarization System,chameleon-lps,"By using a mimetic system to try to camouflage the mech with its surroundings, the Chameleon Light Polarization System makes mechs much harder to target.",9,3,True
Binary Lasers,binary-laser,"The Binary Laser Cannon functions pairs two laser weapons together into a single unit, combining some common parts to reduce weight and bulk.",8,3,True
Bombast Laser,bombast-laser,The bombast laser allows the firer to sacrifice some accuracy for more damage.,8,3,True
Experimental Missiles,exp-missiles,"Highly advanced missile technologies, not yet even out of the lab. For a more creative approach to destruction",8,3,True
Mech Sprayer,sprayers,"While most often used to spray water or foam to fight fires, other fluids can also be delivered using this handy delivery system.",8,3,True
Enhanced Flamers,enh-flamer,Various improvements have been devised that significantly improve upon the basic flamer,8,3,True
Laser Insulators,insulators,"For a little added space and weight, laser weapons can be insulated to reduce the heat they impart on the rest of the mech. However, this does come with the risk of damaging the weapon.",8,3,True
Chaff Pods,chaff,Chaff pods provide a useful tool for throwing off the guidance systems on some guided missiles.,8,3,True
C3 Remote Sensors,c3-remote,Remote sensor packs can be launched from mechs to provide an additional source of targeting data for a C3 network.,8,3,True
Vibroblades,vibroblades,"By rapidly vibrating the edge at a high frequency, vibroblades become remarkably effective cutting weapons.",99,3,False
Clan Technologies,clan,Not generally available,99,3,False
Hardened Armour,hardened-armour,"Hardened armour is considerably more resilient to damage, but the additional weight of the armour materials impairs the movements of the mech.",99,3,False
Drone OS,drone,Remote control system for mechs.,99,3,False
Unallocated Items,unallocated,Odds and ends that haven't had their own tech set up for them yet.,99,3,False
